word,part_of_speech,definition
advanced,a.,先进的，高级的
abandon,vt.,放弃；抛弃
advantage,n.,优势，优点；好处；利益
absent,a.,缺席的，不存在的；心不在焉
adventure,n.,冒险，奇遇；惊险活动
advertise,v.,为…做广告
absolute,a.,绝对的，完全的
advisable,a.,明智的；可取的
absorb,vt.,吸收；吸引…的注意；吞并
affect,vt.,影响；(使)感动
afford,vt.,买得起，花得起(时间)；提供
agent,n.,代理人，代理商
aggregate,a.,总的，累积的
abundant,a.,大量的，充裕的，丰富的
aggressive,a.,侵略的，好斗的；有进取
academic,a.,学术的；学院的
accelerate,v.,加速，促进
agreement,n.,一致，同意；协议，合同
accent,n.,口音；重音，重音符号
agriculture,n.,农业
acceptable,a.,可接受的；合意的
access,n.,进入，享用机会；通道；接 援助
accident,n.,事故；意外的事 报警；使惊慌
accompany,vt.,陪同，伴随；为…伴
alter,v.,改变，变更
accomplish,vt.,完成，实现
accordingly,ad.,因此，于是；相应地
amaze,v.,使惊奇，使惊叹
account,a.,叙述，说明；账目，账户
amuse,v.,给…提供娱乐；逗乐
accuracy,n.,准确，精确
analysis,n.,分析；解析
accuse,vt.,指责，控告
ancestor,n.,祖先，祖宗
accustomed,a.,惯常的，习惯的
anniversary,n.,周年纪念(日)
acquaintance,n.,相识；熟人
announce,vt.,宣布，宣告；通知
acquire,vt.,获得；学到(知识等)
annoy,vt.,使烦恼，使生气；打扰
actual,a.,实际的，现实的，事实上的
acute,a.,敏锐的；剧烈的；严重的
adapt,v.,(使)适应；改编，改写
anticipate,vi.,预料，期望；提前使用
additional,a.,附加的，追加的，另外的
anxiety,n.,焦急，忧虑；渴望，热望
address,n.,住址；称呼；演说
apartment,n.,一套公寓房间
ise,vi.,道歉，认错
adjust,vt.,调整，改变…以适应
apparent,a.,明显的；表面上的
admire,vt.,赞赏，钦佩，羡慕
applicable,a.,可适用的，能应用的
appraisal,n.,评价；估价，鉴定
appreciate,v.,欣赏；领会；评价；感激； 弯曲处
beneficial,a.,有益的，有利的 近；途径；方法
approve,v.,赞成，同意；批准
approximately,ad.,近似地，大致
beyond,prep.,在…的那边；超出
architecture,n.,建筑学；建筑术
bitter,a.,苦的；痛苦的
argue,v.,争论；论述
arise,vi.,出现，发生；产生；升起
arouse,v.,唤醒；激起，引起
arrange,v.,安排；整理，布置 (处)，空格
available,a.,可利用的，可得到的
average,n.,平均，平均数，一般水平
bold,a.,大胆的；冒失的；黑体字的
bonus,n.,额外津贴；奖金；红利
avoid,vt.,避免
boom,a.,高涨；繁荣，兴旺
aware,a.,意识到的，知道的
awful,a.,极坏的；可怕的；极度的 壤(毗邻)
awkward,a.,笨拙的；尴尬的；棘手的
background,n.,背景；经历 虑，烦恼
baggage,n.,行李
bound,a.,必定的；有义务的；开往…的
balance,vt.,使平衡，使收支平衡
brainstorm,vi.,动脑筋，出主意，想办法
bankrupt,n.,破产者
barber,n.,理发师
bare,a.,赤裸的，光秃的；仅有的
breeze,n.,微风，和风
bribe,v.,贿赂
barrier,n.,障碍；栅栏
bride,n.,新娘
basic,a.,基本的，基础的
bear,v.,忍受；承担；生育；结(果实)
brilliant,a.,光辉的；卓越的
broker,n.,经纪人
charge,v.,控告；索价；充电
bullet,n.,子弹
charming,a.,迷人的，可爱的
cheerful,a.,快乐的，高兴的
cabinet,n.,橱柜；政府内阁
chimney,n.,烟囱
calculate,v.,计算；推算
calendar,n.,日历，月历 的，上等的
cigaret(te),n.,香烟
campaign,n.,战役；运动
circulation,n.,循环；流传；流通；（报
campus,n.,大学校园 刊等的）发行(量)
cancel,vt.,取消；删去
cancer,n.,癌
candidate,n.,报考者；候选人
cite,v.,举例；引证，引用
capable,a.,有能力的，能…的
citizen,n.,公民，市民
capacity,n.,容量；能力；生产量
civil,a.,民用的；公民的；国内的
civilization,n.,文明，文化；开化
career,n.,职业；生涯
carpenter,n.,木匠，木工
classical,a.,古典的，经典的
carpet,n.,地毯
classify,vt.,分类，把…分等级
carve,v.,刻，雕刻
clause,n.,(合同)条款
case,n.,事实，情况；病例；案件，案
commit,vt.,犯(错、罪)；使承担义务 例；盒子，箱子
committee,n.,委员会
commodity,n.,商品；日用品
common,a.,共同的；普通的
casual,a.,随便的；偶然的
community,n.,社区；社会
companion,n.,同伴，伴侣
comparison,n.,比较；比拟
compel,vt.,强迫
cease,v.,停止，结束
compensate,v.,(损坏)赔偿，补偿
celebrate,vt.,庆祝
compete,vi.,竞争，比赛
central,a.,中央的，中心的；主要的
competent,a.,有能力的；有技能的
ceremony,n.,仪式，典礼
complain,vi.,抱怨；申诉
certificate,n.,证(明)书；单据
champion,n.,冠军；拥护者
complicated,a.,复杂的，难懂的
character,n.,性格；特性；人物；(汉)
compose,v.,由…组成；写作，作曲
comprehension,n.,理解，领悟
comprehensive,a.,广泛的，综合的 征，特性
conceal,v.,隐藏，隐瞒
concentrate,v.,集中，专心；浓缩
concerning,prep.,关于，论及
contribute,v.,贡献出；有助于；投稿
conclude,v.,下结论；结束；缔结
convenient,a.,便利的，方便的
conventional,a.,常规的，习惯的，传统 凝土
condemn,vt.,谴责；宣判
convert,vt.,使转变，使转化；兑换(货
conference,n.,(正式的)会议 币)
confess,v.,承认，坦白，认罪
convince,vt.,使信服，使确信
confidence,n.,信任，信心
cooperate,vt.,合作，协作，相配合
confirm,vt.,进一步证实(确定)；批准
coordinate,vt.,协调，调节
cope,vi.,对付；妥善处理
core,n.,果核；核(心)；中心
confront,v.,面对，(使)面临
correspond,vi.,符合；相当于；通信
confuse,vt.,使混乱，混淆
corresponding,a.,一致的；对应的
congratulation,n.,祝贺，祝贺词
corridor,n.,走廊
conquer,vt.,征服；战胜，克服
conscious,a.,有意识的；头脑清醒的
costly,a.,昂贵的，代价高的
consequence,n.,后果，影响
crazy,a.,疯狂的；荒唐的；着迷的
considerable,a.,相当大的，可观的
creative,a.,创造性的
considerate,a.,考虑周到的；体谅的
credit,n.,信贷；信誉；学分
crime,n.,犯罪，罪行
consolidate,vt.,加强
crisis,n.,危机；紧急关头
constitution,n.,宪法；体质；构成
crowded,a.,拥挤的
construct,vt.,建造，建设
cultivate,vt.,耕作；栽培；培养
consult,vt.,商量；咨询；查阅
cunning,a.,狡猾的，狡诈的
consume,vt.,消耗，消费
curb,vt.,制止，控制，抑制
curiosity,n.,好奇(心)
contain,vt.,包含，容纳
currency,n.,货币
contract,n.,合同，契约
contradiction,n.,矛盾；反驳
data,n.,数据，资料
deadline,n.,期限
disclose,v.,揭示，泄露
decade,n.,十年
discount,n.,(卖方给买方的)折扣，折价
deceive,v.,欺骗，蒙骗
decent,a.,体面的，得体的
declare,vt.,宣布，声明；断言
dismiss,vt.,免职，解雇；解散；不考虑
disorder,n.,混乱；骚乱；小病，失调
decorate,vt.,装饰，装潢
deduct,v.,扣除；减去
defend,vt.,防守，防卫；辩护
distinct,a.,不同的；清楚的，明显的
deficit,n.,亏空，亏损；赤字，逆差
distinguish,v.,辨认出；区别，区分
define,vt.,下定义，界定；规定
distribute,vt.,分发，分配；分布
definite,a.,明确的，确定的
disturb,vt.,打扰，使烦恼；妨碍
delegation,n.,代表团
domestic,a.,国内的；家庭的；驯养的
delicate,a.,娇嫩的；精细的；微妙的
doubtful,a.,怀疑的，可疑的；难料的
delicious,a.,美味的，芬芳的
dramatic,a.,戏剧性的；引入注目的
deliver,vt.,投递，送交；发表；分娩
drought,n.,干旱，旱灾
democratic,a.,民主的；有民主作风(精
drown,v.,淹死；淹没 神)的
due,a.,预定的；应付的；到期的；应有
demonstrate,v.,证明；演示；示威游行
dense,a.,密的，密集的；稠密的
dull,a.,枯燥的；沉闷的；迟钝的
deny,vt.,否认；拒绝
durable,a.,耐久的，持久的
depart,vi.,离开，出发
derive,v.,从…得到；源自；导出
eager,a.,热切的，渴望的
deserve,vt.,值得；应受
desirable,a.,称心如意的；可取的 缓和，放松
destruction,n.,破坏，毁灭，消灭
effective,a.,有效的，有影响的
determine,v.,决定；下决心；测定
efficient,a.,效率高的；有能力的
devote,vt.,献身于…；专心于…
effort,n.,努力；尽力
diameter,n.,直径
elect,vt.,选举，推选
diamond,n.,钻石，金刚石；菱形
electricity,n.,电，电流；电学
diet,n.,饮食，食物
electronic,a.,电子的；电子学的
differ,vi.,意见分歧；不同，差异
element,n.,元素；要素，成分
elevator,n.,电梯；升降机
eliminate,vt.,消灭，消除
diligent,a.,勤奋的，用功的
embarrass,vt.,使尴尬，使为难
director,n.,主管，主任；董事；导演
emerge,vi.,出现；显露，产生
disadvantage,n.,不利地位(条件)
emergency,n.,紧急情况，突然事件
discipline,n.,纪律；训练；学科
emit,vt.,发出，放射
emotional,a.,感情上的，情绪上的
factor,n.,因素，要素
employ,vt.,雇用；使用
failure,n.,失败，不及格；失败者，失
encounter,vt.,遇上，遭遇到
endure,v.,忍受，忍耐；持续 失灵，故障；破产，无支付能
energetic,a.,精力充沛的，有力气的
enforce,vt.,实施，实行；强制执行
engage,v.,使从事；聘用；订婚
faithful,a.,忠诚的，忠实的
enormous,a.,巨大的，庞大的
fake,n.,伪造品
enthusiastic,a.,热心的，热情的
familiar,a.,熟悉的，通晓的
entire,a.,全部的，完整的
fare,n.,车(船)费
entitle,vt.,给…权利；给…定名
fashionable,a.,时髦的，流行的
equal,a.,相等的；平等的；胜任的
fault,n.,缺点；过失；故障
estimate,vt.,估计；评价
evaluate,vt.,评价，估价
feasible,a.,可行的
eventually,ad.,最后，终于
feedback,n.,反馈
evidence,n.,证据；根据
fertile,a.,肥沃的，富饶的
evident,a.,明显的，显而易见的
figure,n.,数字；轮廓；人物；图表；体
exceed,vt.,超过，胜过
execute,vt.,执行；处决
exhaust,vt.,耗尽；使精疲力竭
flat,a.,平坦的；扁的；单调的；不景气
expand,v.,扩大；扩张；膨胀
flexible,a.,易弯曲的；灵活的
expire,v.,期满，终止
extensive,a.,广泛的，广阔的
forbid,vt.,禁止；不许；阻止
extent,n.,程度；广度；范围
external,a.,额外的，外加的，超额的
franchise,n.,特许，特权；专营权，特 等
extraordinary,a.,特别的，非同寻常的
frank,a.,坦白的，直率的
frequent,a.,频繁的，时常发生的
furious,a.,狂怒的，猛烈的
illustrate,vt.,说明；图解，例解
gap,n.,裂口；差距；隔阂；空白
immense,a.,巨大的，广大的
generate,vt.,发生，产生
imply,vt.,意指；隐含；暗示
generous,a.,慷慨的；宽宏大量的
impressive,a.,感人的，给人以深刻印象
genius,n.,天才；天才人物
genuine,a.,真正的；真实的；真诚的
incentive,n.,奖励，刺激
gloomy,a.,阴沉的；阴暗的；忧伤的
indicate,vt.,指出，表示；表明
glorious,a.,光荣；的，辉煌的
indignant,a.,愤慨的，愤愤不平的
govern,v.,统治；支配，指导
indispensable,a.,不可缺少的，必需的
graceful,a.,优美的，优雅的
gradual,a.,逐渐的，渐进的
gratitude,n.,感激，感谢
industrious,a.,勤劳的，勤奋的
grief,n.,悲哀，悲伤
inevitable,a.,不可避免的，必然发生的
guilty,a.,有罪的；内疚的
infer,vt.,推理，推论
inflation,n.,通货膨胀
handle,n.,柄，把手，拉手
inform,v.,通知，告诉；告发，告密
handsome,a.,漂亮的，英俊的；可观的
inhabitant,n.,居民，住户
haste,n.,匆忙，急速，仓促
hazard,n.,危险；冒险
innocent,a.,无辜的，无罪的；天真的
headquarters,n.,司令部，指挥部；总部
innovation,n.,革新，创新
hesitate,vi.,犹豫；迟疑
instinct,n.,本能，直觉；天性
hinder,v.,阻止，妨碍
integrate,v.,整合；使一体化
intelligence,n.,智力，智慧；情报
hobby,n.,嗜好，业余爱好
intense,a.,强烈的，热烈的
hollow,a.,空的，中空的；空洞的
interaction,n.,相互作用，相互影响
horizontal,a.,横的，水平的
horrible,a.,可怕的，可恶的
hospitality,n.,好客，殷勤
interpret,v.,解释，说明；口译
hostile,a.,敌方的；敌意的，敌对的
invalid,a.,无效的，失效的；作废的
humble,a.,谦卑的；地位或职务低下的
rous,a.,幽默的，风趣的
involve,vt.,使卷入，使参与；包括；必
isolate,vt.,孤立，隔离
identify,vt.,认出，识别；鉴定
journalist,n.,记者，新闻工作者
justice,n.,正义，公正；司法
majority,n.,大多数
justify,vt.,认为有理，证明正当
how,n.,知识；技术；诀窍
marine,a.,海的，海上的；航海的
marked,a.,显著的
ous,a.,奇迹般的，了不起的
lately,ad.,最近，不久前
mask,n.,面具，面罩；伪装
masterpiece,n.,名著，杰作
mature,a.,成熟的；考虑周到的；到期
legend,n.,传说，传奇
lessen,v.,减少；减轻；贬低
liable,a.,易于…的，有…倾向的
means,n.,方法，方式，手段；资金 能；大概，多半
likewise,ad.,同样地，照样地
melt,v.,(使)融化，(使)溶化
local,a.,地方的，本地的；局部的 (堂)，纪念仪式
locate,vt.,把…设置在，使…坐落在
mend,vt.,修理，修补 找出所在的位置
mental,a.,智力的；精神的；脑力的
logical,a.,逻辑上的，符合逻辑的
mention,vt.,提及，说起，写到
loosen,vt.,解开，松开
mere,a.,仅仅；纯粹的
loyal,a.,忠诚的，忠心的
merge,v.,合并，兼并
luxury,n.,豪华，奢侈；奢侈品
merit,n.,优点，价值，功绩
magnet,n.,磁铁，磁体
magnificent,a.,壮丽的，宏伟的；极好
maintain,vt.,保持；主张；保养，维修
minority,n.,少数派；少数民族
maintenance,n.,保持；维修，保养
miracle,n.,奇迹；奇事
major,a.,较大的，主要的
miserable,a.,悲惨的，痛苦的
misfortune,n.,不幸，灾难
noticeable,a.,显而易见的
mislead,vt.,领错路；使误解
mission,n.,使团；使命，任务
mist,n.,薄雾
nowadays,ad.,现在，如今
modest,a.,谦虚的；端庄的；微小的
nuclear,a.,核心的；(原子)核的；核能
modify,vt.,更改，修改
moisture,n.,潮湿，湿度
nuisance,n.,讨厌的人或事，麻烦事
monopoly,n.,垄断
numerous,a.,许多的，众多的
moral,a.,道德上的；有道德的
obey,v.,服从，顺从，听话
objection,n.,反对，异议
mutual,a.,相互的；共同的
oblige,vt.,迫使，责成；施恩于
mysterious,a.,神秘的，可疑的
observe,v.,观察；遵守，奉行；评述
myth,n.,神话
obstacle,n.,障碍，障碍物
obvious,a.,明显的，显而易见的
naked,a.,裸体的，无遮盖的
occasional,a.,偶然的，不时的
namely,ad.,即，换句话说
occupation,n.,占领；职业；工种
nap,n.,小睡，打盹
occupy,vt.,占领，占有；使忙碌
nasty,a.,肮脏的，下流的
occur,vi.,发生，出现；被想起
nationality,n.,国籍；民族
odd,a.,奇数的；单(个)的；古怪的；临
nationalize,v.,国有化 时的；零头的
offend,vt.,得罪；触怒 人；本国人
naughty,a.,顽皮的，淘气的 供，提议
navigation,n.,航海，航空；导航
neat,a.,整洁的，干净的；简洁的
necessarily,ad.,必然，必定
omit,vt.,省略，删去；遗漏，忽略
opera,n.,歌剧
negative,a.,否定的；消极的；负的
opponent,n.,对手，敌手
neglect,vt.,疏忽，忽视；忽略
opportunity,n.,机会，机遇
negotiation,n.,谈判
oppose,v.,反对，反抗
nervous,a.,神经(质)的；紧张不安的
opposite,a.,相反的；对面的
nevertheless,ad.,仍然，不过
noble,a.,高尚的；高贵的，贵族的
opposition,n.,反对，反抗
optimistic,a.,乐观的
normal,a.,正常的；正规的；标准的
option,n.,选择权；优先购买权
noted,a.,著名的
oral,a.,口头的
orchestra,n.,交响乐团
partner,n.,伙伴，合作者；搭档
order,n.,顺序；秩序；正常状态；命
passion,n.,热情，激情；酷爱 令；订购；订货单
orderly,a.,有秩序的，整齐的
path,n.,小路；途径
organism,n.,生物体，有机体
organization,n.,组织；团体，机构
origin,n.,起源，由来；血统
pattern,n.,型；式样；图案
peak,n.,山峰，顶点
peculiar,a.,独特的，奇怪的；异常的
otherwise,ad.,否则，不然；以另外方
penalty,n.,惩罚；罚金
penetrate,v.,穿透，渗入
outcome,n.,结果，结局
perceive,vt.,察觉；领悟；感知
outline,n.,轮廓；提纲，概要
stock,n.,缺货；脱销
performance,n.,操作；演出；业绩；表
output,n.,产量，生产额；输出功率
outskirts,n.,郊区
permanent,a.,永久的，持久的
outstanding,a.,杰出的；突出的，显
overall,a.,全面的，全部的
personality,n.,人格，个性
overcome,vt.,克服，战胜
personnel,n.,(总称)人员，员工
overlook,vt.,俯视；没注意到；宽容
perspective,n.,前景；观点，看法
persuade,vt.,劝说；说服
pessimistic,a.,悲观(主义)的
owe,v.,欠，欠债；把…归功于
ownership,n.,所有权，所有制
phase,n.,阶段，时期；方面
philosophy,n.,哲学
pioneer,n.,开拓者；先驱
plentiful,a.,富裕的，丰富的
package,n.,包袱；包裹；一揽子交易
poetry,n.,诗歌
painful,a.,痛苦的，疼痛的
poisonous,a.,有毒的，有害的
pale,a.,苍白的；淡色的
pollute,vt.,污染，弄脏
panic,n.,恐慌，惊慌
popular,a.,流行的，普及的；大众的
paradise,n.,天堂 广受欢迎的
parallel,a.,平行的；类似的；并列的
partial,a.,部分的，局部的；偏心的
postpone,vt.,延期，推迟
participate,vi.,参与，参加
